"pop" "chromosome" "0_fold" "4_fold" "intergenic" "intron" "pnps"
"1" "cat" "HiC_scaffold_1" 0.00116510386370788 0.00508598528283271 0.00588860616839377 0.00573575464430201 0.229081249534989
"2" "cat" "HiC_scaffold_2" 0.00190479931867616 0.00920610489424792 0.00989575793803804 0.00958961936485934 0.206906106388848
"3" "cat" "HiC_scaffold_3" 0.00235306414981395 0.00675127289307698 0.00631423834046519 0.00637472712932225 0.348536370411996
"4" "cat" "HiC_scaffold_4" 0.00146769125759696 0.00638966829582739 0.00681648284490488 0.00665976210144398 0.22969756639095
"5" "cat" "HiC_scaffold_5" 0.00208191848356374 0.0108251629723485 0.010161516393585 0.00994969790179071 0.192322137678827
"6" "cat" "HiC_scaffold_6" 0.00183156384194011 0.00919049566865233 0.00918904397126025 0.00891518522504301 0.199288907581705
"7" "cat" "HiC_scaffold_7" 0.0017646724070149 0.00811353428293196 0.00832818651448287 0.00823811877260808 0.217497374815702
"8" "cat" "HiC_scaffold_8" 0.00187334491560081 0.00804472614265645 0.0103555398201484 0.00952707833943231 0.232866213514413
"9" "cat" "HiC_scaffold_9" 0.00157021155434474 0.00967237009942535 0.00913030446596932 0.00864017799870734 0.162339895827397
"10" "cat" "HiC_scaffold_10" 0.00247214109662384 0.0112712245790778 0.0101634309179057 0.00909835766950168 0.219332076943329
"11" "cat" "HiC_scaffold_11" 0.0017602449165278 0.0106268641761669 0.0094235795078912 0.00969415976533313 0.165641047758524
"12" "cat" "HiC_scaffold_12" 0.00162930996521203 0.00884943894497537 0.00899495311297883 0.00822237091314945 0.184114493059149
"13" "cat" "HiC_scaffold_13" 0.00165847576798736 0.00821226430123124 0.00895944606921522 0.00889670568558261 0.201951094990782
"14" "cat" "HiC_scaffold_14" 0.00194847745717812 0.00773450860024877 0.00884913923510293 0.00844994972434914 0.251920006542555
"15" "cat" "HiC_scaffold_15" 0.00234051092954954 0.0100265650612465 0.00962319446797242 0.00988187052168088 0.233430982121266
"16" "cat" "HiC_scaffold_16" 0.00161067048861437 0.00876041427517184 0.00915660163940138 0.00921608516621624 0.183857799188701
"17" "cat" "HiC_scaffold_17" 0.00205929651279631 0.01047260066286 0.0103461249634238 0.00993873928464954 0.196636592866508
"18" "cat" "HiC_scaffold_18" 0.001516440097277 0.00799268220582412 0.00833816515506753 0.00780903670673161 0.1897285614799
"19" "cat" "HiC_scaffold_19" 0.00157402303699779 0.00919511878382871 0.00948069985277273 0.00914971430514163 0.171180283148272
"20" "cat" "HiC_scaffold_20" 0.00170860095065923 0.00945369768865625 0.0087968378336231 0.00894220725216828 0.180733614182462
